,itemId,title,category,description,option
5691,9731,Nurarihyon no Mago Recaps,"Action, Demons, Shounen, Supernatural",Special,2
5698,6437,Sora wo Kakeru Shoujo Picture Drama,"Adventure, Comedy, Sci-Fi, Space",Special,9
5735,5344,Time Bokan Series: Itadakiman,Mecha,TV,20
5744,2885,Ganbare Goemon,"Comedy, Shounen",TV,23
5752,2609,Kakyuusei (1999),"Drama, Harem, Romance, School",TV,14
5757,499,Makai Toshi Shinjuku,"Adventure, Horror, Romance, Shounen, Supernatural",OVA,1
5765,13843,Wild Adapter,"Action, Drama, Mystery, Shoujo",OVA,2
5780,2423,Grey: Digital Target,"Action, Fantasy, Sci-Fi",Movie,1
5860,3120,Bobby ni Kubittake,"Drama, Romance, Slice of Life",Movie,1
5873,22435,New Mobile Report Gundam Wing: Frozen Teardrop Picture Drama - Aratanaru Tatakai,"Action, Mecha, Sci-Fi",Special,1
5877,1100,Soreyuke! Uchuu Senkan Yamamoto Yohko,"Adventure, Comedy, Sci-Fi",OVA,3
5898,3723,Koala Boy Kokki,Comedy,TV,26
5899,5725,Kodai Ouja Kyouryuu King: Yokuryuu Densetsu,"Action, Adventure, Game, Kids, Sci-Fi",TV,30
5903,28381,Monster High: Kowa-ike Girls,"Kids, Shoujo, Supernatural",ONA,8
5929,23989,Maken-Ki! Two Specials,Ecchi,Special,5
5984,1938,Shin Kaitei Gunkan,"Action, Adventure, Fantasy, Historical, Military, Sci-Fi",OVA,2
5989,17879,Tamako Market Specials,Comedy,Special,6
6010,2083,Natsuki Crisis,"Action, Martial Arts, School",OVA,2
6035,14095,Kamen Rider Fourze x Crayon Shin-chan,"Action, Comedy, Kids, Shounen",Special,4
6036,2049,Kouryuu Densetsu Villgust,"Action, Adventure, Comedy, Fantasy, Romance",OVA,2
6049,9794,Tono to Issho 1.5,"Comedy, Historical, Parody, Samurai, Seinen",OVA,1
6078,854,Soul Link,"Action, Adventure, Comedy, Military, Romance, Sci-Fi, Space",TV,12
6087,8216,Aa Harimanada,"Martial Arts, Seinen, Sports",TV,23
6095,426,Final Fantasy,"Action, Adventure, Comedy, Fantasy",OVA,4
6099,32548,Imawa no Kuni no Alice,Action,ONA,1
6100,5287,Ippatsu Kanta-kun,"Action, Adventure, Comedy, Kids, Sports",TV,53
6130,204,Yumeria,"Action, Comedy, Ecchi, Harem, Super Power",TV,12
6154,8464,Pants no Ana,"Comedy, Ecchi, School",OVA,1
6164,28433,Baymax,"Drama, Music, Sci-Fi, Slice of Life",Music,1
6167,25567,DRAMAtical Murder OVA: Data_xx_Transitory,"Drama, Psychological, Sci-Fi, Shounen Ai",Special,1
6176,2226,Mori no Tonto-tachi,"Fantasy, Kids",TV,23
6186,1228,Chivas 1-2-3,"Action, Comedy, Ecchi, Fantasy, Supernatural",OVA,2
6188,17727,Haitai Nanafa 2nd Season,"Comedy, Supernatural",TV,13
6218,1975,Mutekiou Tri-Zenon,"Mecha, Sci-Fi",TV,22
6231,2723,D4 Princess,"Action, Comedy, Magic, Mecha, Sci-Fi",TV,24
6235,3434,Hey! Bumboo,"Adventure, Cars, Kids",TV,130
6240,1926,Jishu Seisaku Movie Binchou-tan,"Music, Slice of Life",Music,1
6241,23753,Kishin Houkou Demonbane (TV) Specials,"Magic, Mecha, Sci-Fi, Supernatural",Special,2
6245,1874,Love♥Love? Specials,"Comedy, Ecchi, Harem, Romance",Special,4
6254,32816,Teekyuu 6 Specials,"Comedy, Shounen, Sports",Special,2
6255,13983,Thermae Romae: Kodai Romajin ga Uchuu e,"Comedy, Seinen, Space",Special,1
6324,2476,School Days,"Drama, Harem, Romance, School",TV,12
6330,14367,Tenshi na Konamaiki Specials,Shounen,Special,13
6342,33281,Mori no Andou,Comedy,ONA,1
6350,4534,Choujin Locke: Shinsekai Sentai,"Action, Sci-Fi, Super Power",OVA,2
6366,2245,Seraphim Call,"Drama, Romance, Sci-Fi",TV,12
6391,28715,Rusty Nail,"Action, Music, Sci-Fi",Music,1
6414,1267,Yoroiden Samurai Troopers Message,"Adventure, Fantasy, Samurai, Shounen",OVA,5
6435,18205,World Fool News (TV),"Comedy, Slice of Life",TV,12
6437,23825,Ys IV: The Dawn of Ys,"Action, Adventure, Fantasy, Game",Special,1
6458,24109,Tooryanse,"Music, Supernatural",Music,1
6482,27789,Yodaka no Hoshi (Music),"Drama, Fantasy, Music, Slice of Life",Music,1
6501,6809,Toshi Densetsu Monogatari Hikiko,Horror,OVA,1
6524,8707,Wakusei Robo Danguard Ace tai Konchuu Robot Gundan,"Mecha, Sci-Fi",Movie,1
6531,9264,Hana no Ko Lunlun: Konnichiwa Sakura no Kuni,"Drama, Magic, Shoujo",Movie,1
6535,13195,"Misenai Namida wa, Kitto Itsuka","Fantasy, Music",Music,1
6539,24179,Strobe Light,Music,Music,1
6542,5263,Tomorrow&#039;s Song,Music,Music,1
6563,8724,Nobiro Nobiro Daisuki na Ki,"Fantasy, Music",Music,1
6572,15743,Yuugen Kaisha: Jiken File 00 - Hajimari wa Ayashiku mo Hanayaka ni,"Adventure, Comedy, Supernatural",Special,1
6585,32898,Mobile Suit Gundam 0083: Stardust Memory Picture Drama - Uchuu no Kagerou 2,"Action, Mecha, Space",Special,1
6587,1098,Samurai Girl Real Bout High School,"Adventure, Comedy, Fantasy, Shounen",TV,13
6589,1227,Shuten Douji,"Demons, Historical, Horror, Sci-Fi, Shounen, Space, Supernatural",OVA,4
6595,33548,Babyshiba,Comedy,Special,6
6596,2607,Birth,"Action, Adventure, Comedy, Sci-Fi",OVA,1
6620,11795,Forsaken,"Music, Vampire",Music,1
6635,4522,Bounty Hunter: The Hard,"Action, Police",OVA,1
6652,3685,4-Day Weekend,Music,Music,1
6655,17127,Chokkyuu Hyoudai Robot Anime: Straight Title,"Comedy, Mecha",TV,12
6656,32139,DušaN,"Music, Psychological",Music,1
6658,824,Guardian Hearts,"Comedy, Ecchi, Magic, Romance, School",OVA,6
6668,5090,Techno Police 21C,"Action, Mecha, Police, Sci-Fi",Movie,1
6678,11763,Sekai de Ichiban Tsuyoku Naritai!,"Action, Ecchi, Sports",TV,12
6705,15795,Beast Saga,"Action, Kids, Sci-Fi, Shounen",TV,38
6716,3235,Magma Taishi,"Action, Sci-Fi, Shounen, Space, Super Power",OVA,13
6719,8963,Stitch!: Piko Kara no Chousenjou,"Adventure, Comedy, Kids",Special,1
6727,9627,Kakko Kawaii Sengen!,Comedy,TV,5
6736,6412,Yuki Terai,Music,OVA,6
6741,19187,Fake Doll,Music,Music,1
6755,2600,Juusenki L-Gaim II: Farewell My Lovely + Pentagona Doors,"Action, Adventure, Drama, Mecha, Sci-Fi, Shounen, Space",OVA,1
6765,5875,Kobutori (1929),"Comedy, Demons",Movie,1
6769,16023,Kuro to Kin no Akanai Kagi.,"Romance, Shoujo",OVA,2
6781,29707,Yume no Ukiyo ni Saitemina,Music,Music,1
6787,832,Ginsoukikou Ordian,"Mecha, Sci-Fi",TV,24
6819,6787,Goulart Knights: Evoked the Beginning Black,"Action, Drama, Fantasy, Shoujo, Supernatural",OVA,1
6836,32755,Gregorio,Music,Music,1
6838,30080,Inishie no Megami to Houseki no Ite,Action,ONA,1
6844,2731,Shishunki Bishoujo Gattai Robo Z-MIND,"Action, Mecha, Parody",OVA,6
6858,574,Rean no Tsubasa,"Fantasy, Mecha, Sci-Fi",ONA,6
6865,31710,Divine Gate,"Action, Fantasy, Sci-Fi",TV,12
6872,31830,lilac (bombs Jun Togawa),Music,Music,1
6882,1076,Wizardry,"Action, Adventure, Fantasy",OVA,1
6893,5372,Aura Battler Dunbine OVA,"Adventure, Mecha, Sci-Fi",OVA,3
6901,6907,Mikan-Seijin,Comedy,TV,26
6902,20667,Mobile Suit Gundam: Zeonic Front - Indignation of Zeon.,"Mecha, Military",Special,1
6916,21421,Mahou Shoujo Taisen,Magic,TV,26
6918,9826,Okubyou na Venus,Music,OVA,1
6919,4103,Oval x Over,Cars,OVA,1
6929,4967,Choujin Locke: Mirror Ring,"Action, Sci-Fi, Super Power",OVA,1
6932,31467,Grendizer Giga,"Action, Mecha",ONA,1
6950,33549,Mame-Mofu Collab Animation,Comedy,ONA,1
6953,3496,Ougon no Hou: El Cantare no Rekishikan,"Fantasy, Historical",Movie,1
6958,30920,Utopa,Sci-Fi,Movie,1
6983,1058,Kidou Shinsengumi Moeyo Ken,"Adventure, Comedy, Historical",OVA,4
7017,32618,Hietsuki Bushi,"Fantasy, Music, Sci-Fi",Music,1
7028,5926,Antique Heart,"Magic, Mystery, School",OVA,1
7034,2081,Makeruna! Makendou,"Comedy, Magic, Shounen",OVA,1
7040,30234,1989,"Music, Space",Music,1
7064,3886,Super Mario Brothers: Peach-hime Kyuushutsu Daisakusen!,"Adventure, Comedy, Shounen",Movie,1
7068,1811,Bounty Dog: Getsumen no Ibu,"Action, Sci-Fi, Space",OVA,2
7072,6305,Life no Color,"Music, School",Movie,1
7094,23835,Moonrakers,"Drama, Sci-Fi, Space",ONA,1
7108,32781,Refrain,Music,Music,1
7118,5051,Macross XX,"Action, Mecha",Special,1
7123,1338,Shin Megami Tensei: Tokyo Mokushiroku,"Action, Horror, Sci-Fi",OVA,2
7135,2453,Dennou Sentai Voogie&#039;s★Angel,"Action, Drama, Mecha, Military, Sci-Fi",OVA,3
7153,24321,Hoka Hoka Oden no Uta,Music,Music,1
7157,4398,Kuro Nyago,Fantasy,Movie,1
7160,1656,PostPet Momobin,"Comedy, Kids",TV,24
7161,5193,Shinjuku Shin-chan Patrol: Warui Otona ni Ki wo Tsukete,Kids,ONA,1
7171,13375,Kyoto Animation: Sora-hen,Slice of Life,Special,1
7177,19287,Reunion (Music),Music,Music,1
7180,1052,Tokyo Juushouden,"Action, Adventure, Shounen, Supernatural",OVA,3
7224,30394,Teddy,Slice of Life,Movie,1
7227,1216,Boku wa Konomama Kaeranai,"Drama, Romance, Shounen Ai",OVA,1
7230,10838,Double-J,"Comedy, School, Shounen",TV,11
7241,2258,Choro Q Dagram,"Comedy, Mecha, Sci-Fi, Shounen",Movie,1
7270,2364,Virus: Virus Buster Serge,"Action, Adventure, Mecha, Police, Sci-Fi",TV,12
7272,15021,Yuki no Taiyou Pilot,"Drama, Shoujo",Special,1
7278,2082,Marriage: Kekkon,"Romance, Slice of Life",OVA,2
7289,30489,Minna Atsumare! Falcom Gakuen SC Special,"Comedy, Parody, School, Seinen",Special,1
7290,32856,Sayonara Space Shuttle,"Music, Space",Music,1
7311,32749,Hizumu Realism,"Dementia, Music",Music,1
7312,7451,Kid&#039;s Castle,Comedy,Movie,1
7314,10104,Loups=Garous Picture Drama,"Mystery, Sci-Fi",Special,1
7320,31115,Schick x Evangelion,"Comedy, Parody",Special,2
7323,32084,"Watashitachi, Luck Logic-bu!","Comedy, School",TV,12
7326,7255,Hanaori,Comedy,Movie,1
7346,11389,Happy Kappy Recap,"Comedy, Fantasy, Shoujo",Special,1
7351,29955,Insomniac,Music,Music,1
7357,28809,Macross Fufonfia Specials,"Comedy, Parody",Special,3
7363,1515,Sentou Yousei Shoujo Tasukete! Mave-chan,"Comedy, Parody, Sci-Fi, Shounen, Super Power",OVA,1
7382,2317,Hen,"Comedy, Ecchi",OVA,2
7395,15525,Bokura no Hero,Music,Music,1
7396,3026,Compiler,"Comedy, Drama, Romance, Sci-Fi",OVA,2
7402,1725,Keitai Shoujo,"Comedy, Drama, Romance, School",ONA,6
7429,8993,Juliet,"Ecchi, Romance",OVA,1
7430,6318,Kigurumikku V3,"Comedy, Ecchi, Magic, Mecha, Parody",ONA,3
7436,21215,Zettai Shougeki: Platonic Heart Picture Drama,"Action, Ecchi, Martial Arts",Special,4
7440,15533,Yakimochi Caprice,Slice of Life,Special,2
7461,28355,Henna ABC,"Kids, Music",Music,1
7468,4176,Wanna-Be&#039;s,"Action, Comedy, Sports",OVA,1
7478,3463,A.LI.CE,Sci-Fi,Movie,1
7487,11729,Space Neko Theater,Comedy,ONA,1
7488,25545,Tanu no Magical Holiday,"Kids, Music",Music,1
7493,28639,Futon,Dementia,Movie,1
7496,1751,Jikuu Bouken Nuumamonjaa,"Action, Comedy, Fantasy",OVA,1
7511,14479,Mahoutsukai Nara Miso wo Kue!,"Fantasy, Magic, School",OVA,1
7529,6827,Suzume no Oyado,Fantasy,Movie,1
7530,12521,Tentoumushi no Otomurai,Music,Music,1
7535,17395,Ark IX,Action,OVA,1
7539,24443,Peeping Life: Shinkon-chan Kansai ni Irasshai,"Comedy, Slice of Life",ONA,1
7551,23759,Oira no Ski,"Comedy, Sports",Movie,1
7553,30393,Hana no Hanashi,Slice of Life,Movie,1
7582,19125,Mogura no Adventure,"Adventure, Kids",Special,1
7602,7445,Karo to Piyobupt: Ouchi,Comedy,Movie,1
7606,25549,Psychedelic Afternoon,Music,Music,1
7620,10003,Kago Shintarou Anime Sakuhin Shuu,"Comedy, Dementia, Horror, Seinen",OVA,15
7632,994,Sin in the Rain,Mystery,OVA,1
7664,6848,Doubutsu Mura no Daisodou,Action,Movie,1
7668,14235,Salad Land,Fantasy,ONA,1
7674,5880,Oshiruko,Comedy,ONA,1
7692,30074,Symphonic Variations,Music,Music,1
7703,30431,Anata mo Robot ni Nareru feat. Kamome Jidou Gasshoudan,Music,Music,1
7720,7809,3-tsu no Kumo,Dementia,Movie,3
7728,28951,Beluga,"Dementia, Horror",Movie,1
7735,32765,Cherry Blossom (Music),Music,Music,1
7757,9777,Umacha,Slice of Life,Special,2
7777,29902,A Play,Music,Music,1
7782,6346,Cherry no Manma,"Comedy, Romance, Shoujo",OVA,1
7788,29597,Hana,Comedy,Movie,1
7792,30078,Beautiful Name,Kids,Movie,1
7796,5870,Hibari no Yadogae,Action,Movie,1
7818,30705,Makura no Danshi,Shoujo,TV,12
7844,705,Chou Henshin Cosprayers vs. Ankoku Uchuu Shougun the Movie,"Adventure, Comedy, Magic, Sci-Fi",Movie,1
7856,6823,Omocha Bako Series Dai 3 Wa: Ehon 1936-nen,Fantasy,Movie,1
7869,28981,Ame-iro Cocoa,"Comedy, Slice of Life",TV,12
7871,32288,Jingle,Fantasy,ONA,1
7881,22415,Aoi Heya,"Fantasy, Music",Music,1
7902,4934,A.F,"Action, Mecha, Sci-Fi",Special,1
7927,30092,Wakie Wakie,Music,Music,1
7935,30340,Direct Animation,Dementia,Movie,1
7941,32906,Bishoujo Yuugi Unit Crane Game Girls,"Comedy, Game, Space",TV,13
7949,3832,Rebirth Moon Divergence,"Action, Fantasy",OVA,1
7952,7030,Kemeko no Love,Comedy,Movie,1
7981,6838,Dekobou no Jidousha Ryokou,"Adventure, Cars",Movie,1
7994,23877,Gondora,Dementia,Movie,1
7998,7024,Heya,"Comedy, Dementia",Movie,1
8000,30859,Memory of Red,Dementia,Movie,1
8055,29949,Nami,Dementia,Movie,1
8072,16812,77Danui Bimil,"Action, Drama",Movie,1
8096,24645,Ai Shoujo Pollyanna Story Specials,"Drama, Historical, Slice of Life",Special,2
8153,3844,Apache Yakyuugun,"Action, School, Sports",TV,26
8178,31730,Audition,Music,Movie,1
8283,9177,Burning Blood,"Shounen, Sports",OVA,3
8304,29655,Chanda Gou,,Movie,1
8345,24269,Chiisana Kyojin Microman: Daigekisen! Microman vs. Saikyou Senshi Gorgon,"Action, Adventure, Mecha, Sci-Fi, Shounen, Super Power",Movie,1
8348,29793,Chikara Bashi,Kids,Movie,1
8383,10967,Circuit no Ookami II: Modena no Ken,"Cars, Seinen",OVA,1
8401,24901,Cook no Polka,"Kids, Music",Music,1
8450,3825,Dokaben,"Action, School, Shounen, Sports",TV,163
8495,17307,Dr. Typhoon,"Drama, Seinen, Sports",OVA,1
8534,29961,Feng Ji Yun Nu,"Action, Martial Arts",OVA,1
8571,20095,Furiten-kun (1990),"Comedy, Seinen, Slice of Life",OVA,2
8584,29653,Futari Zamurai Homare no Kawakiri,"Drama, Historical, Samurai",Movie,1
8625,32581,Gaza: Changing the World,"Drama, Supernatural",ONA,1
8693,10323,Golden Kids,"School, Sports",ONA,2
8711,9501,Greek Roman Sinhwa: Olympus Guardian (Movie),"Adventure, Fantasy, Historical",Movie,1
8749,22953,Hana no Zundamaru: Junk,"Comedy, Martial Arts, Parody",ONA,3
8779,3251,Hatara Kids Mai Ham Gumi,"Action, Kids",TV,50
8788,27693,Heart Cocktail,"Romance, Seinen",TV,77
8798,18587,Hello Kitty no Alps no Shoujo Heidi II: Klara to no Deai,Kids,OVA,1
8824,18829,Hello Kitty no Shiawase no Aoi Hotaru,Kids,OVA,1
8825,18825,Hello Kitty no Shiawase no Tulip,Kids,Special,1
8842,22441,Hello Kitty: Ringo no Mori to Parallel Town,"Comedy, Fantasy, Kids",TV,27
8858,2694,Hidamari no Ki,"Drama, Historical",TV,25
8905,6150,Hong Xing Xiao Yong Shi,"Historical, Kids, Slice of Life",Movie,1
8924,32831,Hungry to Win,"Action, Sports",ONA,1
8936,16007,Hyoutan Suzume,Fantasy,Movie,1
9043,11767,Justeen,"Action, Mecha, Sci-Fi",OVA,1
9054,33868,Kabi Usagi: Kaichuu,Comedy,ONA,1
9059,10757,Kachikachi Yama,Drama,Movie,1
9090,8899,Kaitei Shounen Marine,"Action, Adventure, Kids, Sci-Fi",TV,65
9162,29966,Katsuobushi Dayo Jinsei wa,"Kids, Music",Music,1
9240,31071,"Kinyoru, Abe Reiji: Heikinteki na Salaryman no Ijou na Nichijou",Comedy,TV,5
9278,32430,Kodanuki Ponpo,"Kids, Music",Music,1
9306,18081,Koro Koro Kuririn no Inaka no Nezumi Tokai no Nezumi,"Fantasy, Kids",OVA,1
9404,31493,Lord of Vermillion III Special Anime Movie,"Action, Adventure, Fantasy",Special,1
9405,32844,Love Will Find the Way Back Home,Music,Music,1
9434,33358,Mahou no Star Magical Emi: Finale! Finale!,"Comedy, Magic, Shoujo",OVA,1
9488,10282,Manga Nippon Mukashibanashi,Historical,TV,12
9515,6727,Mechakko Dotakon,"Comedy, Sci-Fi",TV,28
9517,25267,Megumi to Taiyou II: Kajuu Gummi Tweet Mystery - Kieta Sapphire Roman no Nazo,Mystery,Special,1
9580,4096,Mizu no Tane,Historical,Movie,1
9587,33225,Mobile Suit Gundam-san (ONA),"Comedy, Mecha, Parody",ONA,15
9602,10758,Momotarou,Drama,Movie,1
9609,18743,Money Wars: Nerawareta Waterfront Keikaku,Seinen,OVA,1
9632,31638,Mr. Shape,"Comedy, Kids",Special,3
9693,24903,Neko Funjatta,Music,Music,1
9712,30864,New Tokyo Ondo,Dementia,Movie,1
9776,33174,Nori P-chan,"Kids, Slice of Life",OVA,1
9786,22849,Nyamen,Comedy,TV,12
9844,29846,Omakase! Miracle Cat-dan,"Comedy, Kids, Super Power",TV,32
9852,32763,One and Three Four,Music,Music,1
9867,29888,Ooi! Hanimaru,"Kids, Music",Music,1
9947,22635,Peeping Life: Tezuka Pro - Tatsunoko Pro Wonderland ONA,"Comedy, Parody",ONA,4
9961,32736,Pepsi Nex x 009 Re:Cyborg,"Action, Comedy",Movie,3
9975,31464,Pichiko Dakyuubu,"Comedy, Sports",TV,29
9976,31465,Pichiko Dakyuubu USA-hen,"Comedy, Sports",Special,3
9997,17613,Poka Poka Mori no Rascal,Kids,TV,52
10032,32385,Project HAL,"Action, Mecha",ONA,3
10034,29377,Pulsar,"Dementia, Music",Movie,1
10064,32768,Revenge of Green Mutant,Music,Music,1
10074,9536,Robin-kun to 100 nin no Otomodachi,"Comedy, Kids",ONA,13
10122,13365,Samchongsa: Time Machine 001,"Adventure, Sci-Fi",Movie,1
10177,29647,Sensuikan Cassiopeia,Dementia,Movie,1
10179,2096,Sequence,"Romance, Sci-Fi, Shoujo",OVA,1
10189,26007,SheepWolf,"Comedy, Kids",ONA,1
10227,7980,Shin Obake no Q-tarou,"Comedy, School, Slice of Life, Supernatural",TV,70
10230,30045,Shin Saru Kani Gassen,Drama,Movie,1
10249,2712,Shiratori Reiko de Gozaimasu!,"Comedy, Romance",OVA,1
10298,31829,Sinbad: Mahou no Lamp to Ugoku Shima,Adventure,Movie,1
10320,22393,Sora e,"Fantasy, Kids, Music",Music,1
10410,29429,Straw Byururu,"Adventure, Fantasy, Kids, Magic",Special,2
10502,5986,Tengai Makyou: Jiraiya Oboro-hen,"Adventure, Fantasy",OVA,2
10520,7982,Tetsuro no Kanata,Adventure,OVA,1
10531,8524,The Kabocha Wine: Nita no Aijou Monogatari,"Comedy, Romance, School, Slice of Life",Movie,1
10537,9417,The Monkey King Conquers the Demon,Adventure,Movie,1
10590,21711,Torero Kamomiro,"Kids, Music",Music,1
10607,29649,Tsuiseki,Dementia,Movie,1
10669,32388,Undouki Kenshin Manual Taiou Taisou,Kids,Special,1
10676,4598,Urikupen Kyuujo-tai,"Adventure, Comedy, Kids",TV,156
10681,6522,Usahana: Yumemiru Ballerina,Kids,Special,7
10713,6868,Wansa-kun,Comedy,TV,26
10738,25173,Where is Mama,Kids,Movie,1
10739,31925,White Tree,"Music, Romance",Music,1
10758,5303,Xabungle Graffiti,Mecha,Movie,1
11139,719,Ai no Kusabi,"Drama, Romance, Sci-Fi, Yaoi",OVA,2
11143,20377,Dorei Usagi to Anthony The Animation,Hentai,OVA,1
11153,3102,Kateikyoushi no Oneesan The Animation: H no Hensachi Agechaimasu,Hentai,OVA,2
11159,29083,Lovely x Cation The Animation,Hentai,OVA,2
11163,3210,Ikoku Irokoi Romantan,"Comedy, Romance, Yaoi",OVA,2
11185,9311,Kateikyoushi no Oneesan 2 The Animation: H no Hensachi Agechaimasu,Hentai,OVA,2
11186,29808,Namaiki: Kissuisou e Youkoso! The Animation,Hentai,OVA,1
11196,32620,Koinaka: Koinaka de Hatsukoi x Nakadashi Sexual Life The Animation,Hentai,OVA,1
11203,4763,Tsuma Shibori,"Hentai, Romance",OVA,2
11209,3771,"Nee, Chanto Shiyou Yo!",Hentai,OVA,5
11224,19859,Yokujou Bazooka The Animation,Hentai,OVA,1
11225,29809,3Ping Lovers!☆Ippu Nisai no Sekai e Youkoso♪ The Animation,Hentai,OVA,1
11230,2432,Discipline,"Hentai, School",OVA,6
11242,5464,Cafe Junkie,Hentai,OVA,2
11247,16642,Ane Koi: Suki Kirai Daisuki.,Hentai,OVA,2
11248,4600,Aneki... My Sweet Elder Sister The Animation,Hentai,OVA,4
11255,22347,Pandra The Animation: Shiroki Yokubou Kuro no Kibou,"Demons, Fantasy, Hentai, Supernatural",OVA,2
11268,24377,Spocon!,Hentai,OVA,2
11269,5172,Love Selection The Animation,Hentai,OVA,2
11289,4399,Honoo no Haramase Tenkousei,"Harem, Hentai, School, Yuri",OVA,3
11327,11747,Kiriya Hakushaku Ke no Roku Shimai,Hentai,OVA,2
11328,24021,Sei Shoujo The Animation,Hentai,OVA,1
11337,29085,Sei Yariman Sisters Pakopako Nikki The Animation,Hentai,OVA,1
11357,2417,Saigo no Door wo Shimero!,"Comedy, Drama, Romance, Yaoi",OVA,1
11358,9328,Shoujo Senki Soul Eater,Hentai,OVA,1
11360,19569,Junjou Shoujo Et Cetera,Hentai,OVA,2
11362,221,Mezzo Forte,"Action, Comedy, Hentai, Sci-Fi",OVA,2
11373,2410,Soreyuke Marin-chan,"Hentai, Sci-Fi",OVA,3
11390,27603,Jutaijima,Hentai,OVA,2
11453,2134,Famiresu Senshi Purin,Hentai,OVA,3
11455,2394,Ma ga Ochiru Yoru,Hentai,OVA,3
11468,2325,Angel Blade Punish!,"Adventure, Hentai, Magic, Sci-Fi",OVA,3
11469,25877,Demonion: Gaiden,Hentai,OVA,2
11476,33393,Enkou Shoujo: Rikujoubu Yukki no Baai The Animation,Hentai,OVA,1
11479,1785,Little Monica Monogatari,Hentai,OVA,2
11483,7583,Valkyrie Choukyou Semen Tank no Ikusa Otome 10-nin Shimai,Hentai,OVA,2
11487,31401,Creamy Pie,Hentai,OVA,2
11494,2188,Maid in Heaven SuperS,Hentai,OVA,2
11506,2590,Genmukan,Hentai,OVA,2
11509,4714,The Rapeman,Hentai,OVA,2
11517,217,Shin Angel,"Comedy, Drama, Hentai, Romance",OVA,5
11522,6685,Mesu Kyoushi: Injoku no Kyoushitsu,Hentai,OVA,3
11527,8655,Bijukubo,Hentai,OVA,2
11589,8292,Seitokaichou Hikaru,Hentai,OVA,1
11592,3324,Discode: Ijou Seiai,Hentai,OVA,3
11593,17747,Furyou ni Hamerarete Jusei Suru Kyonyuu Okaasan The Animation,Hentai,OVA,2
11602,22119,PeroPero☆Teacher,Hentai,OVA,3
11621,2868,Kazama Mana,Hentai,OVA,1
11626,9904,Inyouchuu Etsu,"Demons, Fantasy, Hentai, Magic, Romance, Supernatural",OVA,2
11628,2341,Choujin Densetsu Urotsukidouji,"Action, Demons, Drama, Hentai",OVA,3
11637,5259,Rance: Sabaku no Guardian,"Fantasy, Hentai, Magic",OVA,2
11638,5212,Saimin Gakuen,Hentai,OVA,2
11655,16091,Mouryou no Nie,"Hentai, Horror, Supernatural",OVA,2
11656,4490,Soap no Moko-chan,Hentai,OVA,1
11661,22655,Nerawareta Megami Tenshi Angeltia: Mamotta Ningentachi ni Uragirarete,Hentai,OVA,4
11673,2191,Waver,Hentai,OVA,3
11676,23519,Enbi,Hentai,OVA,2
11719,3105,Chikansha Thomas,Hentai,OVA,1
11727,21513,Imako System,Hentai,OVA,2
11755,6694,Triangle Blue,Hentai,OVA,2
11764,1332,Elf no Wakaokusama,"Fantasy, Hentai",OVA,2
11771,2958,Hitozuma Cosplay Kissa,Hentai,OVA,2
11776,3370,Natural: Another,"Hentai, Romance",OVA,2
11790,8652,Arbeit Shiyo!!,Hentai,OVA,3
11797,9232,Yebisu Celebrities 1st,Yaoi,OVA,1
11820,3543,Kiss yori...,Hentai,OVA,3
11845,23475,Saimin Jutsu Zero Special,Hentai,Special,1
11857,1770,Unbalance,Hentai,OVA,3
11863,4340,Tower of Etruria,"Adventure, Comedy, Harem, Hentai",OVA,2
11867,828,Jinshin Yuugi,Hentai,OVA,2
11871,2185,Words Worth Gaiden,"Action, Adventure, Fantasy, Hentai",OVA,2
11874,4730,Inyoku Tokkyuu Zetsurinou,Hentai,OVA,1
11879,4825,Tenkousei,Hentai,OVA,4
11882,7612,Haha Sange,Hentai,OVA,2
11885,5614,Shikkaku Ishi,Hentai,OVA,2
11892,9327,Seme♥Chichi,Hentai,OVA,2
11907,2376,Shusaku Liberty,Hentai,OVA,2
11909,2344,Choujin Densetsu Urotsukidouji: Inferno Road,"Demons, Fantasy, Hentai, Horror, Sci-Fi",OVA,3
11924,4487,Ebenbourg no Kaze,Hentai,OVA,2
11930,2209,V.G.Neo The Animation,"Action, Hentai, Martial Arts",OVA,3
11934,4400,Inmu 2,Hentai,OVA,2
11935,4603,Kibun Kibun,Hentai,OVA,2
11940,3439,Darcrows,Hentai,OVA,2
11951,5049,Onmyouji: Youen Emaki,"Demons, Hentai",OVA,2
11972,3942,Binetsu Shoukougun,Hentai,OVA,2
12006,5398,Masaru Ashita no Yukinojou 2,Hentai,OVA,2
12020,3402,Sexy Sailor Soldiers,"Action, Comedy, Hentai, Super Power",OVA,1
12028,9270,Imbalance Girl,Hentai,OVA,1
12042,30817,Netoraserare,Hentai,OVA,2
12044,3383,Orchid☆Emblem,Hentai,OVA,1
12061,9211,Shikatte Ingo: Misaki Shunin no Buka Kyouiku-hen,Hentai,OVA,1
12062,2348,Shitai wo Arau The Animation,Hentai,OVA,3
12070,1511,Gakuen: Chijoku no Zushiki,Hentai,OVA,2
12078,1784,Injuu Nerawareta Hanayome,Hentai,OVA,2
12082,4731,Hiiro no Koku,Hentai,OVA,5
12084,3539,Utsukushiki Emono-tachi no Gakuen,Hentai,OVA,2
12092,2894,Kinbaku no Yakata: Ryakudatsu,Hentai,OVA,2
12106,4034,Sailor Senshi Venus♥Five,"Hentai, Parody, Super Power",OVA,2
